id,name,country,city,continent,language,freemover,cost_band,website,subjects,note
SG001,National University of Singapore,Singapore,Singapore,Asia,English,Yes,Medium,https://www.nus.edu.sg/registrar/prospective-students/non-graduating,"Business, Economics, Accounting, Law, Computer Science, Data Science, Information Systems, Engineering, Mechanical Engineering, Electrical Engineering, Mathematics, Physics, Chemistry, Biology, Medicine, Public Health, Social Sciences, Political Science, Humanities, Design, Architecture",Fee-paying non-graduating (visiting) students accepted; exchange places are fee-waived.
HK001,University of Hong Kong,Hong Kong,Hong Kong,Asia,English,Yes,High,https://intlaffairs.hku.hk/visiting-programme,"Business, Economics, Finance, Law, Social Sciences, Political Science, Engineering, Computer Science, Data Science, Medicine, Dentistry, Nursing, Public Health, Science, Architecture, Arts, Humanities, Education",Fee-paying Visiting Programme (non-exchange) - pay full tuition.
US001,San Diego State University,USA,San Diego,North America,English,Yes,High,https://globalcampus.sdsu.edu,"Business, Marketing, Management, Finance, Communication, Journalism, Media, International Business, Hospitality, Tourism, Sports Management, Sociology, Political Science, Psychology, Engineering, Computer Science, Public Health",Fee-paying 'Semester at SDSU' study-abroad open to international students.
CA001,University of British Columbia,Canada,Vancouver,North America,English,Yes,High,https://students.ubc.ca/enrolment/courses/non-degree-studies/non-degree-studies-visiting/,"Business, Economics, Law, Arts, Humanities, Social Sciences, Political Science, Psychology, Engineering, Computer Science, Data Science, Mathematics, Physics, Chemistry, Biology, Environmental Science, Forestry, Medicine, Nursing, Education, Architecture",Non-degree visiting students admitted for a session; international tuition rates apply.
NZ001,University of Auckland,New Zealand,Auckland,Oceania,English,Yes,High,https://www.auckland.ac.nz/en/study/international-students/study-options-for-international-students/study-abroad-and-exchange.html,"Business, Economics, Engineering, Computer Science, Architecture, Design, Arts, Humanities, Law, Medicine, Nursing, Health Sciences, Science, Biology, Environmental Science, Education, Social Sciences, Music",Study Abroad (fee-paying) programme; flat semester fee covering up to four courses.
NZ002,University of Otago,New Zealand,Dunedin,Oceania,English,Yes,High,https://www.otago.ac.nz/international/future-students/student-exchange-and-study-abroad/study-abroad,"Health Sciences, Medicine, Dentistry, Pharmacy, Physiotherapy, Sciences, Biology, Marine Science, Zoology, Business, Economics, Law, Humanities, History, Languages, Social Sciences, Psychology, Computer Science, Surveying","Study Abroad (fee-paying); approx. NZD 13,900 per semester. Semester 1 (Feb) or 2 (Jul)."
AU001,University of Sydney,Australia,Sydney,Oceania,English,Yes,High,https://www.sydney.edu.au/study/study-options/study-abroad-at-sydney.html,"Business, Economics, Law, Arts, Humanities, Social Sciences, Political Science, Psychology, Engineering, Computer Science, Data Science, Architecture, Design, Medicine, Nursing, Pharmacy, Public Health, Science, Veterinary Science, Music, Education",Fee-paying Study Abroad (non-exchange) - pay tuition directly to Sydney.
AU002,Monash University,Australia,Melbourne,Oceania,English,Yes,High,https://www.monash.edu/study-abroad/inbound,"Business, Economics, Accounting, Law, Arts, Humanities, Social Sciences, Political Science, Engineering, Computer Science, Information Technology, Data Science, Medicine, Nursing, Pharmacy, Public Health, Science, Design, Architecture, Education","Fee-paying Study Abroad (non-exchange); approx. AUD 13,000 per semester."
SA001,Stellenbosch University,South Africa,Stellenbosch,Africa,English,Yes,Medium,https://www.sun.ac.za/english/SUInternational,"Arts, Humanities, Social Sciences, Business, Economics, Law, Engineering, Computer Science, Science, Biology, Chemistry, Physics, Agriculture, Forestry, Medicine, Health Sciences, Education, Theology","Accepts fee-paying study-abroad students twice a year (Jan-Jun, Jul-Nov)."
ZA002,University of Cape Town,South Africa,Cape Town,Africa,English,Yes,High,https://uct.ac.za/international/programmes/join-africas-largest-and-most-dynamic-study-abroad-programmes,"Business, Commerce, Economics, Law, Humanities, Social Sciences, Political Science, Engineering, Computer Science, Architecture, Science, Biology, Environmental Science, Medicine, Public Health, Fine Arts, Music, Education","Semester Study Abroad (fee-paying); approx. USD 8,310 per semester. Requires a solid B average."
